Frame; Zeit (in s); Objekt 1 x-Koordinate; Objekt 1 y-Koordinate; Objekt 1 x-Geschwindigkeit; Objekt 1 y-Geschwindigkeit
255; 8,463E0; 2,389E0; 4,625E0; 1,375E0; 4,327E1
256; 8,496E0; 2,449E0; 6,171E0; 1,797E0; 4,639E1
257; 8,529E0; 2,487E0; 7,760E0; 1,142E0; 4,770E1
258; 8,563E0; 2,458E0; 9,209E0; -8,656E-1; 4,348E1
259; 8,596E0; 2,404E0; 1,051E1; -1,643E0; 3,903E1
260; 8,629E0; 2,334E0; 1,160E1; -2,083E0; 3,260E1
261; 8,663E0; 2,261E0; 1,236E1; -2,206E0; 2,303E1
262; 8,696E0; 2,169E0; 1,279E1; -2,744E0; 1,282E1
263; 8,729E0; 2,057E0; 1,285E1; -3,365E0; 1,877E0
264; 8,763E0; 1,941E0; 1,254E1; -3,480E0; -9,337E0
265; 8,796E0; 1,818E0; 1,190E1; -3,683E0; -1,918E1
266; 8,829E0; 1,686E0; 1,093E1; -3,962E0; -2,929E1
267; 8,863E0; 1,577E0; 9,729E0; -3,283E0; -3,593E1
268; 8,896E0; 1,465E0; 8,331E0; -3,365E0; -4,195E1
269; 8,929E0; 1,325E0; 6,796E0; -4,186E0; -4,608E1
270; 8,963E0; 1,189E0; 5,272E0; -4,104E0; -4,574E1
271; 8,996E0; 1,079E0; 3,785E0; -3,287E0; -4,465E1
272; 9,029E0; 1,001E0; 2,396E0; -2,339E0; -4,168E1
273; 9,063E0; 9,210E-1; 4,377E-1; -2,408E0; -5,878E1
274; 9,096E0; 9,034E-1; -1,122E-1; -5,283E-1; -1,651E1
275; 9,129E0; 9,199E-1; -3,056E-1; 4,932E-1; -5,803E0
276; 9,162E0; 9,579E-1; -1,430E-1; 1,142E0; 4,880E0
277; 9,196E0; 1,015E0; 3,710E-1; 1,707E0; 1,543E1
278; 9,229E0; 1,081E0; 1,197E0; 1,987E0; 2,478E1
279; 9,262E0; 1,168E0; 2,307E0; 2,624E0; 3,332E1
280; 9,296E0; 1,295E0; 3,665E0; 3,793E0; 4,077E1
281; 9,329E0; 1,448E0; 5,147E0; 4,583E0; 4,447E1
282; 9,362E0; 1,601E0; 6,684E0; 4,596E0; 4,614E1
283; 9,396E0; 1,740E0; 8,246E0; 4,169E0; 4,690E1
284; 9,429E0; 1,860E0; 9,655E0; 3,618E0; 4,227E1
285; 9,462E0; 1,976E0; 1,089E1; 3,481E0; 3,703E1
286; 9,496E0; 2,090E0; 1,190E1; 3,428E0; 3,046E1
287; 9,529E0; 2,192E0; 1,260E1; 3,038E0; 2,079E1
288; 9,562E0; 2,285E0; 1,293E1; 2,792E0; 9,878E0
289; 9,596E0; 2,360E0; 1,287E1; 2,268E0; -1,700E0
