Frame; Zeit (in s); Objekt 1 x-Koordinate; Objekt 1 y-Koordinate; Objekt 1 x-Geschwindigkeit; Objekt 1 y-Geschwindigkeit
309; 1,026E1; ; ; ;
310; 1,030E1; ; ; ;
311; 1,033E1; ; ; ;
312; 1,036E1; ; ; ;
313; 1,040E1; ; ; ;
314; 1,043E1; ; ; ;
315; 1,046E1; ; ; ;
316; 1,050E1; ; ; ;
317; 1,053E1; ; ; ;
318; 1,056E1; ; ; ;
319; 1,060E1; ; ; ;
320; 1,063E1; ; ; ;
321; 1,066E1; ; ; ;
322; 1,070E1; ; ; ;
323; 1,073E1; ; ; ;
324; 1,076E1; ; ; ;
325; 1,080E1; ; ; ;
326; 1,083E1; ; ; ;
327; 1,086E1; ; ; ;
328; 1,089E1; ; ; ;
329; 1,093E1; ; ; ;
330; 1,096E1; ; ; ;
331; 1,099E1; ; ; ;
332; 1,103E1; ; ; ;
333; 1,106E1; ; ; ;
334; 1,109E1; ; ; ;
335; 1,113E1; ; ; ;
336; 1,116E1; ; ; ;
337; 1,119E1; ; ; ;
338; 1,123E1; ; ; ;
339; 1,126E1; ; ; ;
340; 1,129E1; ; ; ;
341; 1,133E1; ; ; ;
342; 1,136E1; ; ; ;
343; 1,139E1; ; ; ;
344; 1,143E1; ; ; ;
345; 1,146E1; ; ; ;
346; 1,149E1; ; ; ;
347; 1,153E1; ; ; ;
348; 1,156E1; ; ; ;
349; 1,159E1; ; ; ;
350; 1,163E1; ; ; ;
351; 1,166E1; ; ; ;
352; 1,169E1; ; ; ;
353; 1,173E1; ; ; ;
354; 1,176E1; ; ; ;
355; 1,179E1; ; ; ;
356; 1,183E1; ; ; ;
357; 1,186E1; ; ; ;
358; 1,189E1; ; ; ;
359; 1,193E1; ; ; ;
360; 1,196E1; ; ; ;
361; 1,199E1; ; ; ;
362; 1,203E1; ; ; ;
363; 1,206E1; ; ; ;
364; 1,209E1; ; ; ;
365; 1,213E1; ; ; ;
366; 1,216E1; ; ; ;
367; 1,219E1; ; ; ;
368; 1,223E1; ; ; ;
369; 1,226E1; ; ; ;
370; 1,229E1; ; ; ;
371; 1,233E1; ; ; ;
372; 1,236E1; ; ; ;
373; 1,239E1; ; ; ;
374; 1,243E1; ; ; ;
375; 1,246E1; ; ; ;
376; 1,249E1; ; ; ;
377; 1,253E1; ; ; ;
378; 1,256E1; ; ; ;
379; 1,259E1; ; ; ;
380; 1,263E1; ; ; ;
381; 1,266E1; ; ; ;
382; 1,269E1; ; ; ;
383; 1,273E1; ; ; ;
384; 1,276E1; ; ; ;
385; 1,279E1; ; ; ;
386; 1,283E1; ; ; ;
387; 1,286E1; ; ; ;
388; 1,289E1; ; ; ;
389; 1,293E1; ; ; ;
390; 1,296E1; ; ; ;
391; 1,299E1; ; ; ;
392; 1,303E1; ; ; ;
393; 1,306E1; ; ; ;
394; 1,309E1; ; ; ;
395; 1,313E1; ; ; ;
396; 1,316E1; ; ; ;
397; 1,319E1; ; ; ;
398; 1,323E1; ; ; ;
399; 1,326E1; ; ; ;
400; 1,329E1; ; ; ;
401; 1,333E1; ; ; ;
402; 1,336E1; ; ; ;
403; 1,339E1; ; ; ;
404; 1,343E1; ; ; ;
405; 1,346E1; ; ; ;
406; 1,349E1; ; ; ;
407; 1,353E1; ; ; ;
408; 1,356E1; ; ; ;
